Feature,Importance
cat__customer_city_mirinzal,0.0
cat__customer_city_missal,0.0
cat__customer_city_missi,0.0
cat__customer_city_mocajuba,0.0
cat__customer_city_mococa,0.0
cat__customer_city_moeda,0.0
cat__customer_city_mogi mirim,0.0
cat__customer_city_mogi-guacu,0.0
cat__customer_city_mogi-mirim,0.0
cat__customer_city_moju,0.0
cat__customer_city_mojui dos campos,0.0
cat__customer_city_mira estrela,0.0
cat__customer_city_ministro andreazza,0.0
cat__customer_city_mineiros do tiete,0.0
cat__customer_city_mineiros,0.0
cat__customer_city_matutina,0.0
cat__customer_city_maua da serra,0.0
cat__customer_city_maurilandia,0.0
cat__customer_city_maximiliano de almeida,0.0
cat__customer_city_medeiros,0.0
cat__customer_city_medeiros neto,0.0
cat__customer_city_medianeira,0.0
cat__customer_city_medicilandia,0.0
cat__customer_city_medina,0.0
cat__customer_city_meleiro,0.0
cat__customer_city_mendes,0.0
cat__customer_city_mendes pimentel,0.0
cat__customer_city_mendonca,0.0
cat__customer_city_merces,0.0
cat__customer_city_meridiano,0.0
cat__customer_city_meruoca,0.0
cat__customer_city_messias targino,0.0
cat__customer_city_miguel calmon,0.0
cat__customer_city_miguel pereira,0.0
cat__customer_city_miguelopolis,0.0
cat__customer_city_milagres,0.0
cat__customer_city_mimoso do sul,0.0
cat__customer_city_minacu,0.0
cat__customer_city_minas do leao,0.0
cat__customer_city_minas novas,0.0
cat__customer_city_mombaca,0.0
cat__customer_city_mombuca,0.0
cat__customer_city_moncao,0.0
cat__customer_city_monte santo,0.0
cat__customer_city_monte siao,0.0
cat__customer_city_monte verde,0.0
cat__customer_city_monteiro lobato,0.0
cat__customer_city_monteiropolis,0.0
cat__customer_city_montenegro,0.0
cat__customer_city_montezuma,0.0
cat__customer_city_montividiu do norte,0.0
cat__customer_city_morada nova,0.0
cat__customer_city_morada nova de minas,0.0
cat__customer_city_moreilandia,0.0
cat__customer_city_moreira sales,0.0
cat__customer_city_moreno,0.0
cat__customer_city_morpara,0.0
cat__customer_city_morretes,0.0
cat__customer_city_morrinhos,0.0
cat__customer_city_morro agudo,0.0
cat__customer_city_morro agudo de goias,0.0
